Time;Voltage - Dev9_ai0;Voltage - Dev9_ai1;Voltage - Dev9_ai2;Voltage - Dev9_ai3
3,640865276872916200E+9;4,923180731624533700E+0;2,320659861062523300E-2;2,479360454841607900E-1;8,678341839264867000E-1
3,640865276873316300E+9;4,924167838831121600E+0;2,287756577195357600E-2;8,191372891635984000E-1;5,661108948604214300E-1
3,640865276873716400E+9;4,923838803095276400E+0;2,287756577195357600E-2;1,434758367804640300E+0;1,044777120584197600E-1
3,640865276874115900E+9;4,924825910303757000E+0;2,287756577195357600E-2;2,112567301553935000E+0;-2,515357976176683100E-1
3,640865276874516000E+9;4,925483981777654600E+0;2,353563144937051400E-2;2,758460685035878200E+0;-4,390844746044014800E-1
3,640865276874916100E+9;4,924167838831121600E+0;2,287756577195357600E-2;3,330980195267603700E+0;-5,414136578758190800E-1
3,640865276875316100E+9;4,922522660155051400E+0;2,320659861062523300E-2;3,802486740296859000E+0;-6,029427787734045200E-1
3,640865276875716200E+9;4,924496874567281200E+0;2,287756577195357600E-2;4,187457586124409700E+0;-6,430847712740143100E-1
3,640865276876116300E+9;4,924167838831121600E+0;2,287756577195357600E-2;4,529983248780102800E+0;-6,717106180128070700E-1
3,640865276876516300E+9;4,923838803095276400E+0;2,287756577195357600E-2;4,906728945265570000E+0;-6,970461372914559200E-1
3,640865276876915900E+9;4,926471088990866500E+0;2,287756577195357600E-2;5,162389795385895900E+0;-7,217235909170712800E-1
3,640865276877316000E+9;4,923838803095276400E+0;2,287756577195357600E-2;5,272287827248804100E+0;-7,306074741711495700E-1
3,640865276877716100E+9;4,927787231946233200E+0;2,320659861062523300E-2;5,331185290693815300E+0;-7,365300629924225200E-1
3,640865276878116100E+9;4,924496874567281200E+0;2,287756577195357600E-2;5,367050231794348000E+0;-7,358719975684168100E-1
3,640865276878516200E+9;4,927129160467918800E+0;2,287756577195357600E-2;5,382514932403090300E+0;-7,394913573986607900E-1
3,640865276878916300E+9;4,923838803095276400E+0;2,320659861062523300E-2;5,360469508357106800E+0;-7,375171611281601300E-1
3,640865276879316300E+9;4,924825910303757000E+0;2,320659861062523300E-2;5,098885859518585300E+0;-7,325816704462144700E-1
3,640865276879715900E+9;4,923838803095276400E+0;2,254853293335553800E-2;4,574403026406879600E+0;-7,174461656370196800E-1
3,640865276880116000E+9;4,924167838831121600E+0;2,254853293335553800E-2;4,133824873326903800E+0;-6,973751700078586500E-1
3,640865276880516000E+9;4,924496874567281200E+0;2,287756577195357600E-2;3,789654385044722000E+0;-6,805945014224098500E-1
3,640865276880916100E+9;4,924825910303757000E+0;2,287756577195357600E-2;3,287547656641476700E+0;-6,582202764840083800E-1
3,640865276881316200E+9;4,923838803095276400E+0;2,320659861062523300E-2;2,568937128410998300E+0;-6,200524805710510000E-1
3,640865276881716200E+9;4,924167838831121600E+0;2,320659861062523300E-2;1,837824277601092500E+0;-5,674072438987003400E-1
3,640865276882116300E+9;4,924167838831121600E+0;2,254853293335553800E-2;1,142905881676065100E+0;-5,058781220895658400E-1
3,640865276882516400E+9;4,924825910303757000E+0;2,287756577195357600E-2;4,164008980562796100E-1;-4,223038042226899300E-1
3,640865276882916000E+9;4,924496874567281200E+0;2,287756577195357600E-2;-2,752261578307667000E-1;-2,827939117230824900E-1
3,640865276883316000E+9;4,924825910303757000E+0;2,287756577195357600E-2;-8,401753655529526900E-1;4,459373328296117200E-2
3,640865276883716100E+9;4,924167838831121600E+0;2,353563144937051400E-2;-1,456782611250679600E+0;5,032655970552205600E-1
3,640865276884116200E+9;4,924496874567281200E+0;2,287756577195357600E-2;-2,135906068149090700E+0;8,415115377984588900E-1
3,640865276884516200E+9;4,924167838831121600E+0;2,320659861062523300E-2;-2,781139286309165700E+0;1,018531347466140600E+0
3,640865276884916300E+9;4,925483981777654600E+0;2,320659861062523300E-2;-3,350037109440292300E+0;1,116583227426681400E+0
3,640865276885316400E+9;4,923838803095276400E+0;2,320659861062523300E-2;-3,815618815635333700E+0;1,174493067864715600E+0
3,640865276885716000E+9;4,926142053252813300E+0;2,254853293335553800E-2;-4,197955342075928800E+0;1,213318985869835700E+0
3,640865276886116000E+9;4,923838803095276400E+0;2,320659861062523300E-2;-4,543111277358219600E+0;1,241944875747166700E+0
3,640865276886516100E+9;4,923509767359747400E+0;2,287756577195357600E-2;-4,915906198122440800E+0;1,268925600466170900E+0
3,640865276886916200E+9;4,924496874567281200E+0;2,287756577195357600E-2;-5,166958856763771200E+0;1,289654694464364500E+0
3,640865276887316200E+9;4,924825910303757000E+0;2,287756577195357600E-2;-5,271591581604903700E+0;1,299196658549613700E+0
3,640865276887716300E+9;4,924496874567281200E+0;2,287756577195357600E-2;-5,331475728222443400E+0;1,301828924524361700E+0
3,640865276888116400E+9;4,923838803095276400E+0;2,254853293335553800E-2;-5,367011378643144100E+0;1,305777323502890900E+0
3,640865276888515900E+9;4,924167838831121600E+0;2,320659861062523300E-2;-5,381488866493391800E+0;1,307093456500113300E+0
3,640865276888916000E+9;4,921864588686831100E+0;2,254853293335553800E-2;-5,359443601051477700E+0;1,307422489749761300E+0
3,640865276889316100E+9;4,924167838831121600E+0;2,287756577195357600E-2;-5,083384303657199500E+0;1,301499891277039900E+0
3,640865276889716100E+9;4,922851695889634400E+0;2,287756577195357600E-2;-4,550679045137653300E+0;1,284061129364185000E+0
3,640865276890116200E+9;4,925483981777654600E+0;2,287756577195357600E-2;-4,116684138371368800E+0;1,264648168438169800E+0
3,640865276890516300E+9;4,923180731624533700E+0;2,320659861062523300E-2;-3,782057441627369800E+0;1,247538440553742200E+0
3,640865276890916300E+9;4,924496874567281200E+0;2,287756577195357600E-2;-3,273701470552801600E+0;1,226480314424023500E+0
3,640865276891315900E+9;4,923838803095276400E+0;2,287756577195357600E-2;-2,543577620047578100E+0;1,187983428998245400E+0
3,640865276891716000E+9;4,924825910303757000E+0;2,320659861062523300E-2;-1,813454030477787100E+0;1,135009085315030300E+0
3,640865276892116100E+9;4,924496874567281200E+0;2,287756577195357600E-2;-1,120182184859492200E+0;1,073479882852545600E+0
3,640865276892516100E+9;4,924825910303757000E+0;2,287756577195357600E-2;-3,976263475343266800E-1;9,908925644984816200E-1
3,640865276892916200E+9;4,924496874567281200E+0;2,320659861062523300E-2;2,903812893639160500E-1;8,546728607707552200E-1
3,640865276893316300E+9;4,923838803095276400E+0;2,353563144937051400E-2;8,599373900109774600E-1;5,371559928056115500E-1
3,640865276893716300E+9;4,924167838831121600E+0;2,353563144937051400E-2;1,479835931796360500E+0;7,519378805627915900E-2
3,640865276894115900E+9;4,923838803095276400E+0;2,221950009483109400E-2;2,159948146618961800E+0;-2,689745350266625200E-1
3,640865276894516000E+9;4,923838803095276400E+0;2,287756577195357600E-2;2,798931870050595600E+0;-4,489554571199892400E-1
3,640865276894916100E+9;4,923838803095276400E+0;2,287756577195357600E-2;3,365857842907213500E+0;-5,476652798564795000E-1
3,640865276895316100E+9;4,923838803095276400E+0;2,254853293335553800E-2;3,833416008429541200E+0;-6,062331060510878200E-1
3,640865276895716200E+9;4,923509767359747400E+0;2,254853293335553800E-2;4,210490041744636300E+0;-6,453880003332337400E-1
3,640865276896116300E+9;4,923838803095276400E+0;2,254853293335553800E-2;4,549725371501510900E+0;-6,740138470476678700E-1
3,640865276896516300E+9;4,924167838831121600E+0;2,320659861062523300E-2;4,926142053252813300E+0;-6,970461372914559200E-1
3,640865276896915900E+9;4,924496874567281200E+0;2,254853293335553800E-2;5,170944730680266900E+0;-7,220526236306628000E-1
3,640865276897316000E+9;4,923509767359747400E+0;2,287756577195357600E-2;5,278210476720726500E+0;-7,306074741711495700E-1
3,640865276897716000E+9;4,925483981777654600E+0;2,320659861062523300E-2;5,335133724380813900E+0;-7,345558667199709700E-1
3,640865276898116100E+9;4,924825910303757000E+0;2,353563144937051400E-2;5,369353485029245500E+0;-7,371881284162836700E-1
3,640865276898516200E+9;4,923180731624533700E+0;2,287756577195357600E-2;5,382185896212157600E+0;-7,371881284162836700E-1
3,640865276898916200E+9;4,924496874567281200E+0;2,320659861062523300E-2;5,357179146689032800E+0;-7,371881284162836700E-1
3,640865276899316300E+9;4,925154946040548200E+0;2,320659861062523300E-2;5,073221059853077400E+0;-7,322526377337946800E-1
3,640865276899716400E+9;4,924167838831121600E+0;2,287756577195357600E-2;4,543144663809110600E+0;-7,151429366374746400E-1
3,640865276900116000E+9;4,924825910303757000E+0;2,287756577195357600E-2;4,109476282215003300E+0;-6,960590391420193900E-1
3,640865276900516000E+9;4,925154946040548200E+0;2,320659861062523300E-2;3,763002571550022600E+0;-6,792783705487107600E-1
3,640865276900916100E+9;4,924496874567281200E+0;2,320659861062523300E-2;3,244115122104124900E+0;-6,565751128783561300E-1
3,640865276901316200E+9;4,924496874567281200E+0;2,353563144937051400E-2;2,516949775602885400E+0;-6,170911860373216000E-1
3,640865276901716200E+9;4,925154946040548200E+0;2,287756577195357600E-2;1,788469255684345600E+0;-5,641169165695484300E-1
3,640865276902116300E+9;4,924167838831121600E+0;2,320659861062523300E-2;1,090260573993728100E+0;-4,999555327385109000E-1
3,640865276902516400E+9;4,923838803095276400E+0;2,287756577195357600E-2;3,644136949576526300E-1;-4,147360508694635800E-1
3,640865276902916000E+9;4,924825910303757000E+0;2,254853293335553800E-2;-3,199746151827717000E-1;-2,676584039072888400E-1
3,640865276903316000E+9;4,925483981777654600E+0;2,287756577195357600E-2;-8,826205837791028000E-1;7,683895230995473100E-2
3,640865276903716100E+9;4,924825910303757000E+0;2,353563144937051400E-2;-1,504821381323748300E+0;5,348527619934002600E-1
3,640865276904116200E+9;4,924825910303757000E+0;2,287756577195357600E-2;-2,182957745310405000E+0;8,579631915424504900E-1
3,640865276904516200E+9;4,925813017515076300E+0;2,287756577195357600E-2;-2,824571616572425700E+0;1,027415242174908500E+0
3,640865276904916300E+9;4,924167838831121600E+0;2,320659861062523300E-2;-3,384914601271434200E+0;1,122834857736674200E+0
3,640865276905316400E+9;4,923838803095276400E+0;2,254853293335553800E-2;-3,845231793700654600E+0;1,178441466222517300E+0
3,640865276905715900E+9;4,925483981777654600E+0;2,353563144937051400E-2;-4,217368302871178400E+0;1,215622218351504000E+0
3,640865276906116000E+9;4,924496874567281200E+0;2,287756577195357600E-2;-4,569762981634600100E+0;1,244248108309894400E+0
3,640865276906516100E+9;4,925813017515076300E+0;2,287756577195357600E-2;-4,940254682190895200E+0;1,271886899575850100E+0
3,640865276906916100E+9;4,923509767359747400E+0;2,287756577195357600E-2;-5,177158901447312700E+0;1,289983727706775600E+0
3,640865276907316200E+9;4,924496874567281200E+0;2,287756577195357600E-2;-5,278172256751747500E+0;1,299854725042481000E+0
3,640865276907716300E+9;4,923509767359747400E+0;2,320659861062523300E-2;-5,336740268884790700E+0;1,303474090763021600E+0
3,640865276908116300E+9;4,923838803095276400E+0;2,254853293335553800E-2;-5,369314615321656900E+0;1,305777323502890900E+0
3,640865276908515900E+9;4,924167838831121600E+0;2,287756577195357600E-2;-5,381488866493391800E+0;1,307093456500113300E+0
3,640865276908916000E+9;4,928116267685863900E+0;2,353563144937051400E-2;-5,352204857363140000E+0;1,304790223756411500E+0
3,640865276909316100E+9;4,923838803095276400E+0;2,254853293335553800E-2;-5,047519636772191700E+0;1,299854725042481000E+0
3,640865276909716100E+9;4,923509767359747400E+0;2,287756577195357600E-2;-4,517117640812482000E+0;1,283074029644701000E+0
3,640865276910116200E+9;4,925813017515076300E+0;2,320659861062523300E-2;-4,098587312728765700E+0;1,263003002279625300E+0
3,640865276910516300E+9;4,924825910303757000E+0;2,287756577195357600E-2;-3,753431564735695500E+0;1,247538440553742200E+0
3,640865276910916300E+9;4,925154946040548200E+0;2,287756577195357600E-2;-3,223030402570093300E+0;1,224177081911709700E+0
3,640865276911315900E+9;4,925154946040548200E+0;2,254853293335553800E-2;-2,490274313900624000E+0;1,184364063794495700E+0
3,640865276911716000E+9;4,924167838831121600E+0;2,287756577195357600E-2;-1,767718488033138200E+0;1,131389720340968000E+0
3,640865276912116000E+9;4,924825910303757000E+0;2,287756577195357600E-2;-1,072472445947122200E+0;1,069202451829611000E+0
3,640865276912516100E+9;4,924825910303757000E+0;2,254853293335553800E-2;-3,469553021944362100E-1;9,839828688907496000E-1
3,640865277986805000E+9;4,924825910303757000E+0;2,254853293335553800E-2;-4,592466286068607000E+0;1,288996627979950300E+0
3,640865277987204500E+9;4,924167838831121600E+0;2,320659861062523300E-2;-4,155839089753741600E+0;1,269583666934042300E+0
3,640865277987604600E+9;4,924167838831121600E+0;2,320659861062523300E-2;-3,802786525432210400E+0;1,253461038626454200E+0
3,640865277988004700E+9;4,923509767359747400E+0;2,254853293335553800E-2;-3,301998301639759600E+0;1,231086779468205700E+0
3,640865277988404700E+9;4,923838803095276400E+0;2,320659861062523300E-2;-2,598197058653776800E+0;1,194235059842095200E+0
3,640865277988804800E+9;4,923180731624533700E+0;2,287756577195357600E-2;-1,873337978641780800E+0;1,142905881676065100E+0
3,640865277989204900E+9;4,923838803095276400E+0;2,287756577195357600E-2;-1,184343557317538500E+0;1,083021844441691700E+0
3,640865277989604900E+9;4,923838803095276400E+0;2,287756577195357600E-2;-4,608006360789323500E-1;1,002737757093485000E+0
