Time;Voltage - Dev9_ai0;Voltage - Dev9_ai1;Voltage - Dev9_ai2;Voltage - Dev9_ai3
3,640866105325735100E+9;4,901135338082754700E+0;4,590986465767356300E-2;5,207138690148559200E+0;-7,131687403506995500E-1
3,640866105326135200E+9;4,902780516656504200E+0;4,558083181388338000E-2;5,270313610782112700E+0;-7,154719693518069000E-1
3,640866105326535200E+9;4,901793409511311600E+0;4,590986465767356300E-2;5,309139870161796000E+0;-7,190913292070102400E-1
3,640866105326934800E+9;4,902451480941126100E+0;4,590986465767356300E-2;5,329540110005159400E+0;-7,210655254897776500E-1
3,640866105327334900E+9;4,903438588088204300E+0;4,558083181388338000E-2;5,323946495726433500E+0;-7,194203619208972000E-1
3,640866105327734900E+9;4,900477266655454600E+0;4,558083181388338000E-2;5,158112327821660500E+0;-7,177751983510919400E-1
3,640866105328135000E+9;4,902451480941126100E+0;4,525179897016793500E-2;4,659294172131302100E+0;-7,036267916122916900E-1
3,640866105328535100E+9;4,901793409511311600E+0;4,558083181388338000E-2;4,206212585597234500E+0;-6,845428940397759700E-1
3,640866105328935100E+9;4,902122445226061700E+0;4,590986465767356300E-2;3,853816165270636900E+0;-6,671041599372957700E-1
3,640866105329335200E+9;4,902451480941126100E+0;4,590986465767356300E-2;3,376715979039284700E+0;-6,467041312233216000E-1
3,640866105329735300E+9;4,902451480941126100E+0;4,525179897016793500E-2;2,688376445261063000E+0;-6,108395642326949200E-1
3,640866105330134900E+9;4,902451480941126100E+0;4,558083181388338000E-2;1,971411888826158700E+0;-5,614846547030123400E-1
3,640866105330534900E+9;4,901793409511311600E+0;4,525179897016793500E-2;1,288009528254349800E+0;-5,032458601576704800E-1
3,640866105330935000E+9;4,901793409511311600E+0;4,558083181388338000E-2;5,684141257389316900E-1;-4,272392955252782800E-1
3,640866105331335100E+9;4,901793409511311600E+0;4,558083181388338000E-2;-1,521678943719224100E-1;-3,054971732150317800E-1
3,640866105331735100E+9;4,901464373796875900E+0;4,525179897016793500E-2;-7,276461797560911400E-1;-1,726443999857827900E-2
3,640866105332135200E+9;4,902122445226061700E+0;4,558083181388338000E-2;-1,296543699736601100E+0;4,279170509533676800E-1
3,640866105332535300E+9;4,902780516656504200E+0;4,525179897016793500E-2;-1,950002594575850800E+0;7,872210824542842400E-1
3,640866105332934900E+9;4,904096659521162100E+0;4,525179897016793500E-2;-2,599184156955733500E+0;9,915506307496261300E-1
3,640866105333334900E+9;4,902122445226061700E+0;4,525179897016793500E-2;-3,206578757565238900E+0;1,107041265463335900E+0
3,640866105333735000E+9;4,902780516656504200E+0;4,525179897016793500E-2;-3,717237928505954200E+0;1,175151134256377600E+0
3,640866105334135100E+9;4,901793409511311600E+0;4,590986465767356300E-2;-4,133793864796740700E+0;1,219899650120396900E+0
3,640866105334535100E+9;4,901793409511311600E+0;4,558083181388338000E-2;-4,467762637288644500E+0;1,251815872490784000E+0
3,640866105334935200E+9;4,902780516656504200E+0;4,558083181388338000E-2;-4,833976846366913300E+0;1,277151431353444700E+0
3,640866105335335300E+9;4,902780516656504200E+0;4,558083181388338000E-2;-5,094242414231803000E+0;1,297880525565518100E+0
3,640866105335734800E+9;4,902451480941126100E+0;4,525179897016793500E-2;-5,211707441200404700E+0;1,308409589499527300E+0
3,640866105336134900E+9;4,903109552372197500E+0;4,558083181388338000E-2;-5,272578682872143900E+0;1,312357988510928200E+0
3,640866105336535000E+9;4,904425695238112200E+0;4,558083181388338000E-2;-5,311733701172489200E+0;1,313016055014748700E+0
3,640866105336935000E+9;4,903438588088204300E+0;4,558083181388338000E-2;-5,329501525486641400E+0;1,314003154771509000E+0
3,640866105337335100E+9;4,900477266655454600E+0;4,558083181388338000E-2;-5,323578917320351600E+0;1,316964454049206000E+0
3,640866105337735200E+9;4,904425695238112200E+0;4,525179897016793500E-2;-5,150178138472036900E+0;1,311699922007656600E+0
3,640866105338135200E+9;4,903109552372197500E+0;4,558083181388338000E-2;-4,642150331671773600E+0;1,299525691795979000E+0
3,640866105338534800E+9;4,902780516656504200E+0;4,558083181388338000E-2;-4,187755312015562800E+0;1,279125630778981100E+0
3,640866105338934900E+9;4,903109552372197500E+0;4,558083181388338000E-2;-3,844902760605846100E+0;1,263332035511064400E+0
3,640866105339335000E+9;4,902451480941126100E+0;4,525179897016793500E-2;-3,375043612910449300E+0;1,242602942192991400E+0
3,640866105339735000E+9;4,902451480941126100E+0;4,558083181388338000E-2;-2,676177826088546000E+0;1,206738321672210500E+0
3,640866105340135100E+9;4,902780516656504200E+0;4,525179897016793500E-2;-1,956912281050688000E+0;1,157712375053246100E+0
3,640866105340535200E+9;4,902122445226061700E+0;4,525179897016793500E-2;-1,273511412538449700E+0;1,100131568935937700E+0
3,640866105340935200E+9;4,902780516656504200E+0;4,525179897016793500E-2;-5,489814107976812600E-1;1,023137811378016700E+0
3,640866105341334800E+9;4,902122445226061700E+0;4,558083181388338000E-2;1,656778248933914500E-1;9,050149228415205200E-1
3,640866105341734900E+9;4,904754730955377600E+0;4,558083181388338000E-2;7,408274230190130500E-1;6,365239553968103900E-1
3,640866105342135000E+9;4,901464373796875900E+0;4,558083181388338000E-2;1,317622520556872600E+0;1,900262576515987500E-1
3,640866105342535000E+9;4,901464373796875900E+0;4,558083181388338000E-2;1,965818318344347600E+0;-1,801356822892524700E-1
3,640866105342935100E+9;4,901793409511311600E+0;4,558083181388338000E-2;2,617634146943554400E+0;-3,903876268496343500E-1
3,640866105343335100E+9;4,902451480941126100E+0;4,558083181388338000E-2;3,224044027969222600E+0;-5,078523185364907100E-1
3,640866105343735200E+9;4,902780516656504200E+0;4,558083181388338000E-2;3,733389447430644800E+0;-5,792524222469228600E-1
3,640866105344135300E+9;4,902780516656504200E+0;4,558083181388338000E-2;4,138102328678360900E+0;-6,233428078267707600E-1
3,640866105344534900E+9;4,904425695238112200E+0;4,590986465767356300E-2;4,476021452100664700E+0;-6,536138183856546900E-1
3,640866105344934900E+9;4,901793409511311600E+0;4,558083181388338000E-2;4,841908914644483800E+0;-6,812525668590259100E-1
3,640866105345335000E+9;4,903767623804526500E+0;4,558083181388338000E-2;5,101847182683619600E+0;-7,026396934651326600E-1
3,640866105345735100E+9;4,901793409511311600E+0;4,558083181388338000E-2;5,214048446499421400E+0;-7,131687403506995500E-1
3,640866105346135100E+9;4,902780516656504200E+0;4,558083181388338000E-2;5,272945899407028000E+0;-7,174461656370196800E-1
3,640866105346535200E+9;4,903438588088204300E+0;4,590986465767356300E-2;5,312759267459453500E+0;-7,190913292070102400E-1
3,640866105346935300E+9;4,899161123804625500E+0;4,525179897016793500E-2;5,329211073868434000E+0;-7,217235909170712800E-1
3,640866105347334900E+9;4,901135338082754700E+0;4,558083181388338000E-2;5,323946495726433500E+0;-7,204074600623363600E-1
3,640866105347734900E+9;4,900148230942276600E+0;4,525179897016793500E-2;5,137054026771866500E+0;-7,171171329229103500E-1
3,640866105348135000E+9;4,902451480941126100E+0;4,525179897016793500E-2;4,631655192257657200E+0;-7,026396934651326600E-1
3,640866105348535100E+9;4,902451480941126100E+0;4,558083181388338000E-2;4,179560744512531100E+0;-6,828977304498858900E-1
3,640866105348935100E+9;4,901135338082754700E+0;4,525179897016793500E-2;3,832757938870784600E+0;-6,664460944973048500E-1
3,640866105349335200E+9;4,902122445226061700E+0;4,558083181388338000E-2;3,348748053165412100E+0;-6,450589676106101000E-1
3,640866105349735300E+9;4,901793409511311600E+0;4,558083181388338000E-2;2,648234302736977200E+0;-6,088653678701680900E-1
3,640866105350134800E+9;4,902122445226061700E+0;4,558083181388338000E-2;1,942456936272326100E+0;-5,595104583012298100E-1
3,640866105350534900E+9;4,901793409511311600E+0;4,525179897016793500E-2;1,255435237993691300E+0;-5,006135982227248900E-1
3,640866105350935000E+9;4,901793409511311600E+0;4,558083181388338000E-2;5,305753333549996200E-1;-4,219747714687714400E-1
3,640866105351335000E+9;4,901793409511311600E+0;4,558083181388338000E-2;-1,883615021770433700E-1;-2,956261899915632600E-1
3,640866105351735100E+9;4,901793409511311600E+0;4,558083181388338000E-2;-7,559429929360932400E-1;5,438825427294218700E-3
3,640866105352135200E+9;4,902122445226061700E+0;4,558083181388338000E-2;-1,334382457188329200E+0;4,525945218340981500E-1
3,640866105352535200E+9;4,902451480941126100E+0;4,558083181388338000E-2;-1,981589732834174700E+0;8,020275699717923600E-1
3,640866105352934800E+9;4,902122445226061700E+0;4,558083181388338000E-2;-2,631758401204349800E+0;9,987893595442936000E-1
3,640866105353334900E+9;4,901135338082754700E+0;4,558083181388338000E-2;-3,237507850353202900E+0;1,112305796188489900E+0
3,640866105353735000E+9;4,902780516656504200E+0;4,525179897016793500E-2;-3,735992812565227100E+0;1,179099532617312200E+0
3,640866105354135000E+9;4,901793409511311600E+0;4,525179897016793500E-2;-4,143335827765120900E+0;1,221544816191323600E+0
3,640866105354535100E+9;4,902780516656504200E+0;4,558083181388338000E-2;-4,481911071289463400E+0;1,250499739584664200E+0
3,640866105354935200E+9;4,903767623804526500E+0;4,525179897016793500E-2;-4,854047891417958600E+0;1,278138531065603000E+0
3,640866105355335200E+9;4,897186909537806400E+0;4,525179897016793500E-2;-5,106745693316551800E+0;1,296235359338469900E+0
3,640866105355734800E+9;4,902122445226061700E+0;4,525179897016793500E-2;-5,215655845872862300E+0;1,308080556249468400E+0
3,640866105356134900E+9;4,904096659521162100E+0;4,525179897016793500E-2;-5,275539986683998700E+0;1,313674121519118300E+0
3,640866105356535000E+9;4,902122445226061700E+0;4,525179897016793500E-2;-5,312062734951053900E+0;1,317951553810912100E+0
3,640866105356935000E+9;4,902451480941126100E+0;4,525179897016793500E-2;-5,330488626853685300E+0;1,317293487302970700E+0
3,640866105357335100E+9;4,905741838109058500E+0;4,558083181388338000E-2;-5,320946647044003400E+0;1,315648321035522500E+0
3,640866105357735200E+9;4,898174016669802500E+0;4,525179897016793500E-2;-5,116945736972293300E+0;1,312357988510928200E+0
3,640866105358135200E+9;4,902122445226061700E+0;4,525179897016793500E-2;-4,612866357344967300E+0;1,297880525565518100E+0
3,640866105358534800E+9;4,902780516656504200E+0;4,623889750153849900E-2;-4,170974617680304400E+0;1,278467564303260100E+0
3,640866105358934900E+9;4,902122445226061700E+0;4,492276612652720100E-2;-3,830754337639731100E+0;1,262344935817151000E+0
3,640866105359334900E+9;4,902451480941126100E+0;4,558083181388338000E-2;-3,339508055508324100E+0;1,240957776079433000E+0
3,640866105359735000E+9;4,901793409511311600E+0;4,590986465767356300E-2;-2,632745499523608100E+0;1,204106056007953300E+0
3,640866105360135100E+9;4,901793409511311600E+0;4,558083181388338000E-2;-1,925983208338947000E+0;1,154751076356862700E+0
3,640866105360535100E+9;4,901464373796875900E+0;4,525179897016793500E-2;-1,248504929240963300E+0;1,097499303606878800E+0
3,640866105360935200E+9;4,902122445226061700E+0;4,590986465767356300E-2;-5,164071697868116700E-1;1,019189413737791900E+0
3,640866105361335300E+9;4,901464373796875900E+0;4,558083181388338000E-2;1,985811125105616500E-1;8,981052278864559700E-1
3,640866105361734900E+9;4,901793409511311600E+0;4,525179897016793500E-2;7,697823307782032400E-1;6,134916453597236700E-1
3,640866105362134900E+9;4,901793409511311600E+0;4,525179897016793500E-2;1,343945181315866000E+0;1,689681536185445600E-1
3,640866105362535000E+9;4,909032195308440400E+0;4,525179897016793500E-2;1,997076506961037400E+0;-1,929679612969383800E-1
3,640866105362935100E+9;4,902122445226061700E+0;4,525179897016793500E-2;2,642969759680013500E+0;-3,963102165026546300E-1
3,640866105363335100E+9;4,901464373796875900E+0;4,525179897016793500E-2;3,248063534166817100E+0;-5,124587769060142700E-1
3,640866105363735200E+9;4,901793409511311600E+0;4,525179897016793500E-2;3,749841182795106600E+0;-5,815556513635563600E-1
3,640866105364135300E+9;4,902451480941126100E+0;4,558083181388338000E-2;4,153896010381303400E+0;-6,246589387278891300E-1
3,640866105364534900E+9;4,902780516656504200E+0;4,590986465767356300E-2;4,490499006530081200E+0;-6,546009165502501000E-1
3,640866105364934900E+9;4,902122445226061700E+0;4,525179897016793500E-2;4,860992983312955900E+0;-6,842138613218754500E-1
3,640866105365335000E+9;4,902122445226061700E+0;4,525179897016793500E-2;5,107440793178112900E+0;-7,039558243279356900E-1
3,6408661064257350E+9;4,8991611238046255E+0;4,5909864657673563E-2;5,3150625203063111E+0;-7,1942036192089720E-1
3,6408661064261351E+9;4,9017934095113116E+0;4,5580831813883380E-2;5,3288820377320443E+0;-7,1909132920701024E-1
3,6408661064265351E+9;4,9034385880882043E+0;4,5580831813883380E-2;5,3065075812434603E+0;-7,2073649277607543E-1
3,6408661064269352E+9;4,9024514809411261E+0;4,5909864657673563E-2;5,0324206131418165E+0;-7,1580100206610187E-1
3,6408661064273353E+9;4,9017934095113116E+0;4,5580831813883380E-2;4,5141895513702561E+0;-6,9902033358930093E-1
3,6408661064277348E+9;4,9017934095113116E+0;4,5909864657673563E-2;4,0884180424689251E+0;-6,7894933783018863E-1
3,6408661064281349E+9;4,9027805166565042E+0;4,5580831813883380E-2;3,7133183311547131E+0;-6,6118157097166286E-1
3,6408661064285350E+9;4,9014643737968759E+0;4,5909864657673563E-2;3,1809405336356615E+0;-6,3716218225540833E-1
3,6408661064289350E+9;4,9027805166565042E+0;4,6238897501538499E-2;2,4876657625790761E+0;-5,9866535330602399E-1
3,6408661064293351E+9;4,9017934095113116E+0;4,5909864657673563E-2;1,7805724525146567E+0;-5,4733624712106543E-1
3,6408661064297352E+9;4,9027805166565042E+0;4,5580831813883380E-2;1,0603185566957152E+0;-4,8317486282606603E-1
3,6408661064301352E+9;4,9027805166565042E+0;4,5909864657673563E-2;3,2229748144792975E-1;-3,9367795443676862E-1
3,6408661064305348E+9;4,9017934095113116E+0;4,5251798970167935E-2;-3,4662626942826191E-1;-2,4298094524227373E-1
3,6408661064309349E+9;4,9014643737968759E+0;4,5251798970167935E-2;-8,9249156469161928E-1;1,1369063209583749E-1
3,6408661064313350E+9;4,9021224452260617E+0;4,5909864657673563E-2;-1,5015310546057989E+0;5,5558183947837603E-1
3,6408661064317350E+9;4,9024514809411261E+0;4,5909864657673563E-2;-2,1638738481958466E+0;8,6487288620040026E-1
3,6408661064321351E+9;4,9024514809411261E+0;4,5580831813883380E-2;-2,7979199592297173E+0;1,0320217061333028E+0
3,6408661064325352E+9;4,9027805166565042E+0;4,5909864657673563E-2;-3,3701081187617130E+0;1,1287574549150379E+0
3,6408661064329352E+9;4,9017934095113116E+0;4,6238897501538499E-2;-3,8501672901368544E+0;1,1876543957972494E+0
3,6408661064333348E+9;4,9024514809411261E+0;4,5580831813883380E-2;-4,2443490288286467E+0;1,2277964472911280E+0
3,6408661064337349E+9;4,9011353380827547E+0;4,5580831813883380E-2;-4,5809501170614713E+0;1,2528029721717833E+0
3,6408661064341350E+9;4,9024514809411261E+0;4,5909864657673563E-2;-4,9333449771575504E+0;1,2810998302093988E+0
3,6408661064345350E+9;4,9008063023689479E+0;4,5251798970167935E-2;-5,1366877574428127E+0;1,2991966585496137E+0
