Time;Voltage - Dev9_ai0;Voltage - Dev9_ai1;Voltage - Dev9_ai2;Voltage - Dev9_ai3
3,640861088609001200E+9;4,914296766892906700E+0;3,011628823976340900E-2;4,907387016704817900E+0;-7,006654971697932100E-1
3,640861088609401200E+9;4,913309659714680100E+0;2,978725539954212400E-2;5,118957050373870400E+0;-7,171171329229103500E-1
3,640861088609801300E+9;4,911993516814787200E+0;3,011628823976340900E-2;5,214706518540417300E+0;-7,266590816170803700E-1
3,640861088610201400E+9;4,908045088145322600E+0;2,978725539954212400E-2;5,269326502553256300E+0;-7,299494087458365800E-1
3,640861088610601400E+9;4,915941945529581900E+0;2,978725539954212400E-2;5,303875292346517300E+0;-7,299494087458365800E-1
3,640861088611001500E+9;4,914625802619611700E+0;3,011628823976340900E-2;5,317036737045242500E+0;-7,309365068837514500E-1
3,640861088611401600E+9;4,915283874073966600E+0;2,945822255939479400E-2;5,288081559413639900E+0;-7,309365068837514500E-1
3,640861088611801100E+9;4,914954838346631900E+0;2,945822255939479400E-2;5,004781603657414200E+0;-7,250139180513293100E-1
3,640861088612201200E+9;4,912651588264103500E+0;2,978725539954212400E-2;4,489182865194816700E+0;-7,072461514823025200E-1
3,640861088612601300E+9;4,913967731166516200E+0;2,945822255939479400E-2;4,062095244365054600E+0;-6,878332212166545800E-1
3,640861088613001300E+9;4,913967731166516200E+0;2,978725539954212400E-2;3,698840805251401200E+0;-6,697364216956778200E-1
3,640861088613401400E+9;4,914625802619611700E+0;3,011628823976340900E-2;3,181927636515145900E+0;-6,463750985008606100E-1
3,640861088613801500E+9;4,914954838346631900E+0;2,978725539954212400E-2;2,484704457977551200E+0;-6,068911715061130500E-1
3,640861088614201500E+9;4,914625802619611700E+0;2,978725539954212400E-2;1,765765946820214500E+0;-5,549040000241140000E-1
3,640861088614601100E+9;4,914296766892906700E+0;3,044532108005866500E-2;1,058015324638827500E+0;-4,910716486828474200E-1
3,640861088615001200E+9;4,914954838346631900E+0;3,011628823976340900E-2;3,196652181520062700E-1;-4,025618388955714600E-1
3,640861088615401300E+9;4,914296766892906700E+0;2,945822255939479400E-2;-3,341230242724498300E-1;-2,446261091637861900E-1
3,640861088615801300E+9;4,914954838346631900E+0;2,978725539954212400E-2;-8,730786355389132900E-1;1,064519092041586700E-1
3,640861088616201400E+9;4,915283874073966600E+0;2,945822255939479400E-2;-1,483434257659479700E+0;5,256398387929458500E-1
3,640861088616601500E+9;4,914954838346631900E+0;3,011628823976340900E-2;-2,146106082020448300E+0;8,089372642241902100E-1
3,640861088617001500E+9;4,914954838346631900E+0;2,978725539954212400E-2;-2,787719942336261100E+0;9,632537823871871700E-1
3,640861088617401100E+9;4,914625802619611700E+0;3,011628823976340900E-2;-3,359908097587784900E+0;1,052750794246015900E+0
3,640861088617801200E+9;4,915612909801616600E+0;2,945822255939479400E-2;-3,838651131826734000E+0;1,108028364971821900E+0
3,640861088618201300E+9;4,915612909801616600E+0;2,945822255939479400E-2;-4,217039269633438000E+0;1,144222014410114700E+0
3,640861088618601300E+9;4,914296766892906700E+0;2,945822255939479400E-2;-4,561208113486324900E+0;1,169886603137682400E+0
3,640861088619001400E+9;4,916270981257861500E+0;3,011628823976340900E-2;-4,916893298809767100E+0;1,193576993435247800E+0
3,640861088619401500E+9;4,915283874073966600E+0;3,011628823976340900E-2;-5,123197376717704400E+0;1,213648019081105400E+0
3,640861088619801500E+9;4,914954838346631900E+0;3,011628823976340900E-2;-5,214997778425605200E+0;1,218912550479432900E+0
3,640861088620201600E+9;4,914954838346631900E+0;2,978725539954212400E-2;-5,270275446584542500E+0;1,225493214775091400E+0
3,640861088620601200E+9;4,913967731166516200E+0;2,945822255939479400E-2;-5,304165924317789700E+0;1,224506115127356000E+0
3,640861088621001200E+9;4,914296766892906700E+0;2,978725539954212400E-2;-5,316669207870868200E+0;1,225164181559046600E+0
3,640861088621401300E+9;4,916600016986456500E+0;2,978725539954212400E-2;-5,286069067027180600E+0;1,224835148343134800E+0
3,640861088621801400E+9;4,915283874073966600E+0;2,978725539954212400E-2;-4,986319384350148100E+0;1,218254484052786700E+0
3,640861088622201400E+9;4,915612909801616600E+0;2,978725539954212400E-2;-4,466446503907143900E+0;1,200486690733380000E+0
3,640861088622601500E+9;4,914296766892906700E+0;2,978725539954212400E-2;-4,042651672302125300E+0;1,180415665408469600E+0
3,640861088623001600E+9;4,914954838346631900E+0;2,945822255939479400E-2;-3,680715260579647400E+0;1,163634972477516800E+0
3,640861088623401200E+9;4,915283874073966600E+0;3,011628823976340900E-2;-3,153933494979460800E+0;1,139286516668057200E+0
3,640861088623801200E+9;4,914954838346631900E+0;2,978725539954212400E-2;-2,450132318789657800E+0;1,099802535769361700E+0
3,640861088624201300E+9;4,915283874073966600E+0;3,011628823976340900E-2;-1,734815220265759800E+0;1,047486263885055500E+0
3,640861088624601400E+9;4,914954838346631900E+0;2,978725539954212400E-2;-1,023446575876833400E+0;9,833248026451801800E-1
3,640861088625001400E+9;4,914954838346631900E+0;2,978725539954212400E-2;-2,880584361516362900E-1;8,954729631552252900E-1
3,640861088625401500E+9;4,914954838346631900E+0;2,978725539954212400E-2;3,607943328014325300E-1;7,385241917563850600E-1
3,640861088625801600E+9;4,914954838346631900E+0;2,978725539954212400E-2;9,033697573713493900E-1;3,890911644974638900E-1
3,640861088626201200E+9;4,914625802619611700E+0;2,945822255939479400E-2;1,517345731650194800E+0;-3,207091726616197900E-2
3,640861088626601200E+9;4,914954838346631900E+0;2,978725539954212400E-2;2,177386930804158000E+0;-3,166842874725194800E-1
3,640861088627001300E+9;4,915283874073966600E+0;2,978725539954212400E-2;2,817357776476657100E+0;-4,703425857489308400E-1
3,640861088627401300E+9;4,914625802619611700E+0;3,011628823976340900E-2;3,389877356518153500E+0;-5,601685237686699900E-1
3,640861088627801400E+9;4,914954838346631900E+0;2,945822255939479400E-2;3,859409756838720900E+0;-6,147879569531782300E-1
3,640861088628201500E+9;4,913967731166516200E+0;2,978725539954212400E-2;4,231219252976550200E+0;-6,499944584457030300E-1
3,640861088628601500E+9;4,914625802619611700E+0;3,011628823976340900E-2;4,585261195096131300E+0;-6,779622396743880700E-1
3,640861088629001100E+9;4,913967731166516200E+0;3,044532108005866500E-2;4,937000232775235800E+0;-7,042848570435420400E-1
3,640861088629401200E+9;4,913309659714680100E+0;3,011628823976340900E-2;5,130473307967762700E+0;-7,181042310651271100E-1
3,640861088629801300E+9;4,912980623989234600E+0;2,945822255939479400E-2;5,219313022864328700E+0;-7,253429507645529100E-1
3,640861088630201300E+9;4,913967731166516200E+0;3,011628823976340900E-2;5,273603971566582300E+0;-7,276461797560911400E-1
3,640861088630601400E+9;4,920877481486864500E+0;2,978725539954212400E-2;5,307165653471038500E+0;-7,296203760331253500E-1
3,640861088631001500E+9;4,914625802619611700E+0;2,978725539954212400E-2;5,317036737045242500E+0;-7,312655395963167900E-1
3,64086108968461990E+9;4,91429676689290670E+0;3,17614524419797190E-2;6,72388553470072310E-1;5,53278608627207350E-1
3,64086108968502000E+9;4,91199351681478720E+0;3,20904852826450760E-2;1,24490617475759250E+0;1,36393899592984510E-1
3,64086108968542000E+9;4,91429676689290670E+0;3,17614524419797190E-2;1,90560518036014100E+0;-2,18303486236955470E-1
3,64086108968582010E+9;4,91330965971468010E+0;3,17614524419797190E-2;2,56268548445708650E+0;-4,17697345663123160E-1
3,64086108968622020E+9;4,91265158826410350E+0;3,11033867608711540E-2;3,16383075071893230E+0;-5,25949119220846190E-1
3,64086108968661980E+9;4,91495483834663190E+0;3,17614524419797190E-2;3,66955672027265530E+0;-5,90439535079089970E-1
3,64086108968701980E+9;4,91199351681478720E+0;3,17614524419797190E-2;4,08282444772531510E+0;-6,33213789568953910E-1
3,64086108968741990E+9;4,91298062398923460E+0;3,20904852826450760E-2;4,43061458052153960E+0;-6,62497701854027560E-1
3,64086108968782000E+9;4,91495483834663190E+0;3,17614524419797190E-2;4,80110849548310540E+0;-6,89149352086325550E-1
3,64086108968822000E+9;4,91298062398923460E+0;3,14324196013884210E-2;5,06696937818098460E+0;-7,10207445918017650E-1
3,64086108968862010E+9;4,91594194552958190E+0;3,17614524419797190E-2;5,19200303388733620E+0;-7,19420361920897200E-1
3,64086108968902020E+9;4,91429676689290670E+0;3,17614524419797190E-2;5,25517795160153070E+0;-7,22381656344217470E-1
3,64086108968941970E+9;4,91298062398923460E+0;3,17614524419797190E-2;5,29663649799016230E+0;-7,25013918051329310E-1
3,64086108968981980E+9;4,91627098125786150E+0;3,17614524419797190E-2;5,31703673704524250E+0;-7,26001016190889970E-1
3,64086108969021990E+9;4,91495483834663190E+0;3,20904852826450760E-2;5,31177215910153320E+0;-7,26659081617080370E-1
3,64086108969061990E+9;4,91396773116651620E+0;3,11033867608711540E-2;5,13409270329389500E+0;-7,22710689057735170E-1
3,64086108969102000E+9;4,91528387407396660E+0;3,20904852826450760E-2;4,65139732052157310E+0;-7,09220347773116930E-1
3,64086108969142010E+9;4,91396773116651620E+0;3,14324196013884210E-2;4,18120591983509460E+0;-6,89149352086325550E-1
3,64086108969182010E+9;4,91528387407396660E+0;3,17614524419797190E-2;3,82420303470210990E+0;-6,71710618012807070E-1
3,64086108969221970E+9;4,91528387407396660E+0;3,14324196013884210E-2;3,37013529044335240E+0;-6,50981556611628490E-1
3,64086108969261980E+9;4,91495483834663190E+0;3,14324196013884210E-2;2,71075075553200940E+0;-6,17420218763459540E-1
3,64086108969301990E+9;4,91495483834663190E+0;3,14324196013884210E-2;1,99477327195783500E+0;-5,67736276631370610E-1
3,64086108969341990E+9;4,91462580261961170E+0;3,20904852826450760E-2;1,29031276094932300E+0;-5,09168449500158380E-1
3,64086108969382000E+9;4,91495483834663190E+0;3,20904852826450760E-2;5,45710850150618490E-1;-4,29542524795857690E-1
3,64086108969422010E+9;4,91660001698645650E+0;3,17614524419797190E-2;-1,45587238323516280E-1;-3,05497173215031780E-1
3,64086108969462010E+9;4,91528387407396660E+0;3,20904852826450760E-2;-6,94413875558861910E-1;-2,05547682927472820E-2
3,64086108969501970E+9;4,91495483834663190E+0;3,17614524419797190E-2;-1,27022108579212210E+0;3,98633119524067880E-1
3,64086108969541980E+9;4,91528387407396660E+0;3,17614524419797190E-2;-1,93453805821745210E+0;7,36879026572061500E-1
3,64086108969581990E+9;4,91462580261961170E+0;3,20904852826450760E-2;-2,59326156715150050E+0;9,25085941814001720E-1
3,64086108969621990E+9;4,91594194552958190E+0;3,14324196013884210E-2;-3,19078517856216990E+0;1,02938944101126180E+0
3,64086108969662000E+9;4,91594194552958190E+0;3,17614524419797190E-2;-3,68861205353014300E+0;1,09026057399372810E+0
3,64086108969702010E+9;4,91561290980161660E+0;3,20904852826450760E-2;-4,09825827953890350E+0;1,13171875351978630E+0
3,64086108969742010E+9;4,91594194552958190E+0;3,20904852826450760E-2;-4,44604643679573640E+0;1,16034464056995470E+0
3,64086108969782020E+9;4,91495483834663190E+0;3,20904852826450760E-2;-4,81522193597584370E+0;1,18732536259638440E+0
3,64086108969821980E+9;4,91495483834663190E+0;3,14324196013884210E-2;-5,07943589986005590E+0;1,20772542129848470E+0
3,64086108969861980E+9;4,91462580261961170E+0;3,14324196013884210E-2;-5,19525575535100170E+0;1,21628028477602970E+0
3,64086108969901990E+9;4,91363869544044100E+0;3,14324196013884210E-2;-5,25843023153616770E+0;1,22121578297687280E+0
3,64086108969942000E+9;4,91660001698645650E+0;3,14324196013884210E-2;-5,30054655281397390E+0;1,22582224799126930E+0
3,64086108969982000E+9;4,91824519563415750E+0;3,14324196013884210E-2;-5,31930147812746060E+0;1,22253191583547240E+0
3,64086108970022010E+9;4,91067737391993030E+0;3,11033867608711540E-2;-5,31008853228251000E+0;1,22253191583547240E+0
3,64086108970062020E+9;4,91462580261961170E+0;3,17614524419797190E-2;-5,12155220835734410E+0;1,22022868333431680E+0
3,64086108970101980E+9;4,91429676689290670E+0;3,17614524419797190E-2;-4,63227932895175520E+0;1,20640928846371630E+0
3,64086108970141980E+9;4,91627098125786150E+0;3,14324196013884210E-2;-4,16241975403508850E+0;1,18535116339394640E+0
3,64086108970181990E+9;4,91528387407396660E+0;3,17614524419797190E-2;-3,80443169083306240E+0;1,16692530439806760E+0
3,64086108970222000E+9;4,91594194552958190E+0;3,14324196013884210E-2;-3,35069517531418940E+0;1,14619621351505740E+0
3,64086108970262000E+9;4,91495483834663190E+0;3,17614524419797190E-2;-2,68341654728254530E+0;1,11164772984606410E+0
3,64086108970302010E+9;4,91495483834663190E+0;3,17614524419797190E-2;-1,95855744449863560E+0;1,06295082191107460E+0
3,64086108970342020E+9;4,91594194552958190E+0;3,14324196013884210E-2;-1,25311138669501720E+0;1,00372485648352550E+0
3,64086108970381970E+9;4,91561290980161660E+0;3,17614524419797190E-2;-5,13445875126849800E-1;9,23440776307967170E-1
3,64086108970421980E+9;4,91561290980161660E+0;3,17614524419797190E-2;1,75877843967692460E-1;8,00053371623047130E-1
3,64086108970461990E+9;4,91462580261961170E+0;3,17614524419797190E-2;7,24704804292497840E-1;5,16097882702382330E-1
3,64086108970501990E+9;4,91462580261961170E+0;3,17614524419797190E-2;1,30479022375641150E+0;9,49357592266869140E-2
3,64086108970542000E+9;4,91528387407396660E+0;3,14324196013884210E-2;1,97141188882615870E+0;-2,42322879673245370E-1
3,64086108970582010E+9;4,91462580261961170E+0;3,17614524419797190E-2;2,62717613082045800E+0;-4,30858655806488520E-1
3,64086108970622010E+9;4,91495483834663190E+0;3,20904852826450760E-2;3,21779237587383140E+0;-5,33187839455018460E-1
3,64086108970661970E+9;4,91429676689290670E+0;3,17614524419797190E-2;3,71364736584008080E+0;-5,95045993289495260E-1
3,64086108970701980E+9;4,91396773116651620E+0;3,17614524419797190E-2;4,12099250755266850E+0;-6,36175084084349970E-1
3,64086108970741990E+9;4,91363869544044100E+0;3,14324196013884210E-2;4,46483425133963770E+0;-6,64142865456088030E-1
3,64086108970781990E+9;4,91528387407396660E+0;3,17614524419797190E-2;4,83368302330024150E+0;-6,89807417520930110E-1
3,64086108970822000E+9;4,91330965971468010E+0;3,17614524419797190E-2;5,08868574659539340E+0;-7,11852609492103600E-1
3,64086108970862010E+9;4,91429676689290670E+0;3,17614524419797190E-2;5,19891278992023410E+0;-7,21394558203442890E-1
3,64086108970902010E+9;4,91561290980161660E+0;3,17614524419797190E-2;5,26044252862812470E+0;-7,24355852624771980E-1
3,64086108970941970E+9;4,91396773116651620E+0;3,20904852826450760E-2;5,29893975072238010E+0;-7,24355852624771980E-1
3,64086108970981980E+9;4,91429676689290670E+0;3,14324196013884210E-2;5,31901095379622560E+0;-7,27317147043124110E-1
3,64086108971021990E+9;4,91396773116651620E+0;3,17614524419797190E-2;5,30617854513017310E+0;-7,25671983477739760E-1
3,64086108971061990E+9;4,91429676689290670E+0;3,24195181233844980E-2;5,09855682361297900E+0;-7,22381656344217470E-1
3,64086108971102000E+9;4,91561290980161660E+0;3,20904852826450760E-2;4,59842261212529380E+0;-7,06588086051730400E-1
3,64086108971142010E+9;4,91495483834663190E+0;3,20904852826450760E-2;4,14567013441471490E+0;-6,87504188499140410E-1
3,64086108971182010E+9;4,91462580261961170E+0;3,20904852826450760E-2;3,79261569776015680E+0;-6,69736421695677820E-1
3,64086108971221970E+9;4,91462580261961170E+0;3,17614524419797190E-2;3,31716075071350680E+0;-6,48020262112760310E-1
3,64086108971261980E+9;4,91429676689290670E+0;3,17614524419797190E-2;2,64428589543938310E+0;-6,12813760593697190E-1
3,64086108971301980E+9;4,91429676689290670E+0;3,17614524419797190E-2;1,92501815865926940E+0;-5,62800785636638160E-1
3,64086108971341990E+9;4,91495483834663190E+0;3,17614524419797190E-2;1,21331898586983570E+0;-5,01929729190579430E-1
3,64086108971382000E+9;4,91429676689290670E+0;3,17614524419797190E-2;4,74968762560085300E-1;-4,19342509435562010E-1
3,64086108971422000E+9;4,91528387407396660E+0;3,14324196013884210E-2;-2,04484109042780440E-1;-2,87400370598884290E-1
3,64086108971462010E+9;4,91462580261961170E+0;3,17614524419797190E-2;-7,46401044335228910E-1;1,69549746884359930E-2
3,64086108971502020E+9;4,91660001698645650E+0;3,17614524419797190E-2;-1,33569858788057470E+0;4,39762236909993330E-1
3,64086108971541980E+9;4,91561290980161660E+0;3,14324196013884210E-2;-2,00231879244186750E+0;7,62543603758644380E-1
